exp,conc,prot,tipo
0.440473,0,Endoglin,replicate
0.991034,0,Endoglin,replicate
1.568493,0,Endoglin,replicate
1,0,Endoglin,mean
0.702168,0.001,Endoglin,replicate
0.909697,0.001,Endoglin,replicate
1.38624,0.001,Endoglin,replicate
0.999368333333333,0.001,Endoglin,mean
0.626049,0.256,Endoglin,replicate
0.760704,0.256,Endoglin,replicate
1.278118,0.256,Endoglin,replicate
0.888290333333333,0.256,Endoglin,mean
0.382994,524.3,Endoglin,replicate
0.662787,524.3,Endoglin,replicate
0.862051,524.3,Endoglin,replicate
0.635944,524.3,Endoglin,mean
0.338835,0,PlGF,replicate
0.326802,0,PlGF,replicate
2.334363,0,PlGF,replicate
1,0,PlGF,mean
0.320602,0.001,PlGF,replicate
2.430566,0.001,PlGF,replicate
1.98595,0.001,PlGF,replicate
1.57903933333333,0.001,PlGF,mean
0.466186,0.256,PlGF,replicate
2.536274,0.256,PlGF,replicate
2.040811,0.256,PlGF,replicate
1.68109033333333,0.256,PlGF,mean
2.182363,524.3,PlGF,replicate
1.618182,524.3,PlGF,replicate
1.244529,524.3,PlGF,replicate
1.68169133333333,524.3,PlGF,mean
